SoilMoisture,Average_Temp,Min_Temp,Max_Temp,Precipitation,Working_days,HA_Harvested,FFB_Yield,target
439.6,27.03548387,21.5,33,126.8,25,783227.2727,1.87,B
481.5,26.71612903,21.7,33.4,257.8,25,778257.868,1.97,A
480.5,27.12666667,20.5,35.3,79.5,24,755259.5855,1.93,B
467.1,27.73548387,19.9,35.2,186.4,26,748523.6842,1.9,B
526.6,27.03666667,22.4,33,276.1,23,725312.6506,1.66,B
581.1,26.74193548,21.9,33,274.5,25,709935.5072,1.38,B
553.4,26.76774194,22.2,33.2,106.8,26,746198.1818,1.1,A
519.1,26.44137931,21.9,32.3,175.7,23,766853.1532,1.11,A
460.5,27.89677419,21.5,35.9,36.5,26,796784.7458,1.18,A
392.9,28.58,21.2,36,81.7,26,808250.4,1.25,A
384.1,28.24516129,22.5,35.3,135.9,25,807678.1955,1.33,B
416.5,27.27,20.8,34.5,177.5,24,804263.9456,1.47,B
435.1,27.30645161,22.1,35.1,132.8,24,773650.6494,1.54,B
444.6,27.56451613,21.6,34.4,164.8,26,781631.9527,1.69,A
461.6,27.73666667,21.5,35.4,160.8,24,789008.2873,1.81,A
496,27.56774194,21.9,35.3,222.2,25,779987.7778,1.8,B
553,26.4,21.2,32.9,275.2,26,760720.1087,1.84,B
594.4,26.29354839,21,33.6,276.9,26,770663.9053,1.69,B
600,26.30322581,21.5,33.6,233.2,25,773714.8936,1.41,A
576.6,25.96785714,21.5,32,172.3,23,840881.8182,1.32,A
558.7,26.92258065,21.2,35.4,196.6,26,829901.5152,1.32,A
557,27.33666667,22.2,34,209.6,25,838803.0075,1.33,B
571.4,27.24193548,22.5,34.3,258.4,24,848043.8849,1.39,B
553.8,27.39333333,20,34.6,135.2,24,812858.209,1.34,B
518.1,26.93870968,21.9,34.1,147.8,26,828471.4286,1.82,A
526.7,26.83225806,21.7,32.8,226.5,26,784926.3959,1.97,A
539,27.06666667,21.2,33.8,185.4,21,768186.4734,2.07,A
547.5,27.47419355,21.2,35.4,219,24,765351.3274,2.26,B
592.9,26.53,22.1,33.8,327.3,26,760970.4846,2.27,B
619,26.44193548,22.2,33.1,301,24,756968.0365,2.19,B
613.9,25.71612903,19.8,33,422.1,26,809692.0904,1.77,B
549.7,26.64642857,20.5,34.2,60.2,22,791064.0288,1.39,B
479.9,27.08064516,21.4,34.8,108,26,824104.5752,1.53,B
473.4,27.53333333,21.5,34.6,176.4,25,834390.3448,1.45,B
491.7,27.56129032,21.9,34.3,179.4,23,870965.4676,1.39,A
498.2,27.21333333,21.6,33.6,165.6,24,820758.9147,1.29,B
494.7,27.07419355,21.2,33.5,154.7,26,882254.2254,1.42,A
478.8,27.01612903,20.4,33.6,127.2,25,829488.8199,1.61,A
481.1,26.94666667,21,34.2,180.6,23,792101.0471,1.91,B
510.8,26.81935484,21,34.4,207,26,771805.3922,2.04,B
